"질문 유형","요인","지표","n","평균 변화"
"crosslingual_ko","HyDE","faithfulness","2","0.1282"
"crosslingual_ko","HyDE","answer_relevancy","2","0.0899"
"crosslingual_ko","HyDE","context_precision","2","0.0528"
"crosslingual_ko","HyDE","context_recall","2","0"
"crosslingual_ko","CAD","faithfulness","2","-0.0333"
"crosslingual_ko","CAD","answer_relevancy","2","-0.0794"
"crosslingual_ko","CAD","context_precision","2","-0.077"
"crosslingual_ko","CAD","context_recall","2","0"
"decoder_ablation","HyDE","faithfulness","4","-0.1266"
"decoder_ablation","HyDE","answer_relevancy","4","0.0059"
"decoder_ablation","HyDE","context_precision","4","-0.0834"
"decoder_ablation","HyDE","context_recall","4","0"
"decoder_ablation","CAD","faithfulness","4","-0.0767"
"decoder_ablation","CAD","answer_relevancy","4","0.039"
"decoder_ablation","CAD","context_precision","4","0"
"decoder_ablation","CAD","context_recall","4","0"
"numeric_or_factual_hallucination","HyDE","faithfulness","2","-0.1357"
"numeric_or_factual_hallucination","HyDE","answer_relevancy","2","0.0711"
"numeric_or_factual_hallucination","HyDE","context_precision","2","0.0563"
"numeric_or_factual_hallucination","HyDE","context_recall","2","0"
"numeric_or_factual_hallucination","CAD","faithfulness","2","-0.05"
"numeric_or_factual_hallucination","CAD","answer_relevancy","2","-0.0606"
"numeric_or_factual_hallucination","CAD","context_precision","2","0"
"numeric_or_factual_hallucination","CAD","context_recall","2","0"
"section_abstract","HyDE","faithfulness","2","0.0312"
"section_abstract","HyDE","answer_relevancy","2","-0.0447"
"section_abstract","HyDE","context_precision","2","-0.2334"
"section_abstract","HyDE","context_recall","2","0"
"section_abstract","CAD","faithfulness","2","-0.2188"
"section_abstract","CAD","answer_relevancy","2","-0.4501"
"section_abstract","CAD","context_precision","2","0"
"section_abstract","CAD","context_recall","2","0"
"section_method","HyDE","faithfulness","20","0.1295"
"section_method","HyDE","answer_relevancy","20","0.2685"
"section_method","HyDE","context_precision","20","-0.0594"
"section_method","HyDE","context_recall","20","0.1"
"section_method","CAD","faithfulness","19","0.1284"
"section_method","CAD","answer_relevancy","20","0.1157"
"section_method","CAD","context_precision","20","0"
"section_method","CAD","context_recall","20","0"
"section_result","HyDE","faithfulness","16","0.0244"
"section_result","HyDE","answer_relevancy","16","-0.0364"
"section_result","HyDE","context_precision","16","-0.0029"
"section_result","HyDE","context_recall","16","0"
"section_result","CAD","faithfulness","16","0.0014"
"section_result","CAD","answer_relevancy","16","-0.0727"
"section_result","CAD","context_precision","16","0.0045"
"section_result","CAD","context_recall","16","-0.0625"
"simple_qa","HyDE","faithfulness","14","0.0066"
"simple_qa","HyDE","answer_relevancy","14","-0.0154"
"simple_qa","HyDE","context_precision","14","-0.0174"
"simple_qa","HyDE","context_recall","14","-0.1429"
"simple_qa","CAD","faithfulness","13","0.0094"
"simple_qa","CAD","answer_relevancy","14","-0.0405"
"simple_qa","CAD","context_precision","14","-0.0337"
"simple_qa","CAD","context_recall","14","0"
