dimension,group,factor,metric,n_queries,mean_delta
query_type,crosslingual_ko,HyDE,faithfulness,2,0.1282
query_type,crosslingual_ko,HyDE,answer_relevancy,2,0.0899
query_type,crosslingual_ko,HyDE,context_precision,2,0.0528
query_type,crosslingual_ko,HyDE,context_recall,2,0.0
query_type,crosslingual_ko,CAD,faithfulness,2,-0.0333
query_type,crosslingual_ko,CAD,answer_relevancy,2,-0.0794
query_type,crosslingual_ko,CAD,context_precision,2,-0.077
query_type,crosslingual_ko,CAD,context_recall,2,0.0
query_type,decoder_ablation,HyDE,faithfulness,4,-0.1266
query_type,decoder_ablation,HyDE,answer_relevancy,4,0.0059
query_type,decoder_ablation,HyDE,context_precision,4,-0.0834
query_type,decoder_ablation,HyDE,context_recall,4,0.0
query_type,decoder_ablation,CAD,faithfulness,4,-0.0767
query_type,decoder_ablation,CAD,answer_relevancy,4,0.039
query_type,decoder_ablation,CAD,context_precision,4,0.0
query_type,decoder_ablation,CAD,context_recall,4,0.0
query_type,numeric_or_factual_hallucination,HyDE,faithfulness,2,-0.1357
query_type,numeric_or_factual_hallucination,HyDE,answer_relevancy,2,0.0711
query_type,numeric_or_factual_hallucination,HyDE,context_precision,2,0.0563
query_type,numeric_or_factual_hallucination,HyDE,context_recall,2,0.0
query_type,numeric_or_factual_hallucination,CAD,faithfulness,2,-0.05
query_type,numeric_or_factual_hallucination,CAD,answer_relevancy,2,-0.0606
query_type,numeric_or_factual_hallucination,CAD,context_precision,2,0.0
query_type,numeric_or_factual_hallucination,CAD,context_recall,2,0.0
query_type,section_abstract,HyDE,faithfulness,2,0.0312
query_type,section_abstract,HyDE,answer_relevancy,2,-0.0447
query_type,section_abstract,HyDE,context_precision,2,-0.2334
query_type,section_abstract,HyDE,context_recall,2,0.0
query_type,section_abstract,CAD,faithfulness,2,-0.2188
query_type,section_abstract,CAD,answer_relevancy,2,-0.4501
query_type,section_abstract,CAD,context_precision,2,0.0
query_type,section_abstract,CAD,context_recall,2,0.0
query_type,section_method,HyDE,faithfulness,20,0.1295
query_type,section_method,HyDE,answer_relevancy,20,0.2685
query_type,section_method,HyDE,context_precision,20,-0.0594
query_type,section_method,HyDE,context_recall,20,0.1
query_type,section_method,CAD,faithfulness,19,0.1284
query_type,section_method,CAD,answer_relevancy,20,0.1157
query_type,section_method,CAD,context_precision,20,0.0
query_type,section_method,CAD,context_recall,20,0.0
query_type,section_result,HyDE,faithfulness,16,0.0244
query_type,section_result,HyDE,answer_relevancy,16,-0.0364
query_type,section_result,HyDE,context_precision,16,-0.0029
query_type,section_result,HyDE,context_recall,16,0.0
query_type,section_result,CAD,faithfulness,16,0.0014
query_type,section_result,CAD,answer_relevancy,16,-0.0727
query_type,section_result,CAD,context_precision,16,0.0045
query_type,section_result,CAD,context_recall,16,-0.0625
query_type,simple_qa,HyDE,faithfulness,14,0.0066
query_type,simple_qa,HyDE,answer_relevancy,14,-0.0154
query_type,simple_qa,HyDE,context_precision,14,-0.0174
query_type,simple_qa,HyDE,context_recall,14,-0.1429
query_type,simple_qa,CAD,faithfulness,13,0.0094
query_type,simple_qa,CAD,answer_relevancy,14,-0.0405
query_type,simple_qa,CAD,context_precision,14,-0.0337
query_type,simple_qa,CAD,context_recall,14,0.0
